Input_Read_Pairs	Pairs_Reads	Pairs_Read_Percent	Forward_Only_Surviving_Reads	Forward_Only_Surviving_Read_Percent	Reverse_Only_Surviving_Reads	Reverse_Only_Surviving_Read_Percent	Dropped_Reads	Dropped_Read_Percent
SRR7356426	19329913	17617498	91.14	1243438	6.43	184920	0.96	284057	1.47
SRR7356427	18222035	16426014	90.14	1429798	7.85	148140	0.81	218083	1.2
SRR7356428	14936675	12336717	82.59	2250268	15.07	103753	0.69	245937	1.65
SRR7356429	18181516	15744004	86.59	463858	2.55	1709625	9.4	264029	1.45
SRR7356430	16889084	14979057	88.69	116034	0.69	1592618	9.43	201375	1.19
SRR7356431	18601005	16929236	91.01	1307254	7.03	161851	0.87	202664	1.09
SRR7356432	9913000	8681677	87.58	63872	0.64	1044031	10.53	123420	1.25
SRR7356433	18434272	16690336	90.54	152443	0.83	1390095	7.54	201398	1.09
SRR7356434	13738536	11592560	84.38	1765747	12.85	132381	0.96	247848	1.8
SRR7356435	19385665	17678133	91.19	1332919	6.88	171476	0.88	203137	1.05
SRR7356436	17418594	16710125	95.93	88349	0.51	472726	2.71	147394	0.85
SRR7356437	18381748	17781714	96.74	386634	2.1	103748	0.56	109652	0.6
SRR7356438	27305522	25598951	93.75	237136	0.87	1228732	4.5	240703	0.88
SRR7356439	17843497	17162253	96.18	457046	2.56	98136	0.55	126062	0.71
SRR7356440	23361325	22502594	96.32	127869	0.55	551487	2.36	179375	0.77
SRR7356441	18408548	17201269	93.44	154057	0.84	889607	4.83	163615	0.89
SRR7356442	21173807	20437975	96.52	115457	0.55	497438	2.35	122937	0.58
SRR7356443	23613027	22805782	96.58	133916	0.57	521377	2.21	151952	0.64
SRR7356444	18110311	17392808	96.04	533651	2.95	73621	0.41	110231	0.61
SRR7356445	2100000	2024533	96.41	49634	2.36	7476	0.36	18357	0.87
SRR7356446	17325587	16636765	96.02	444621	2.57	79429	0.46	164772	0.95
SRR7356447	15531543	15036148	96.81	344434	2.22	62098	0.4	88863	0.57
SRR7356448	14737464	14157271	96.06	412376	2.8	61162	0.42	106655	0.72
SRR7356449	19313074	18696872	96.81	467612	2.42	70040	0.36	78550	0.41
SRR7356450	17513537	16880616	96.39	455046	2.6	74486	0.43	103389	0.59
SRR7356451	17482927	16867733	96.48	437079	2.5	77929	0.45	100186	0.57
SRR7356452	18855112	18185794	96.45	484475	2.57	79981	0.42	104862	0.56
SRR7356453	13794996	13305756	96.45	329878	2.39	53528	0.39	105834	0.77
SRR7356454	21023449	20264615	96.39	507769	2.42	77527	0.37	173538	0.83
SRR7356455	15501283	14945668	96.42	385237	2.49	56418	0.36	113960	0.74
SRR7356456	18020603	16408876	91.06	157811	0.88	1254779	6.96	199137	1.11
SRR7356457	2662000	2445697	91.87	64501	2.42	126751	4.76	25051	0.94
SRR7356458	1288000	1232272	95.67	42569	3.31	4658	0.36	8501	0.66
SRR7356459	20703030	19943495	96.33	560102	2.71	85731	0.41	113702	0.55
SRR7356460	17458700	15174606	86.92	295046	1.69	1744479	9.99	244569	1.4
SRR7356461	11852000	10188321	85.96	1381238	11.65	106143	0.9	176298	1.49
SRR7356462	17070354	15052896	88.18	298830	1.75	1504713	8.81	213915	1.25
SRR7356463	16608062	14483549	87.21	1752992	10.56	153583	0.92	217938	1.31
SRR7356464	13184000	12582478	95.44	457970	3.47	62105	0.47	81447	0.62
SRR7356465	17192751	16576901	96.42	90557	0.53	432458	2.52	92835	0.54
SRR7356466	16864772	15642106	92.75	130644	0.77	922295	5.47	169727	1.01
SRR7356467	18256717	17047041	93.37	156509	0.86	884756	4.85	168411	0.92
SRR7356468	17580314	16080124	91.47	125296	0.71	1174787	6.68	200107	1.14
SRR7356469	15930338	14884161	93.43	131134	0.82	765436	4.8	149607	0.94
SRR7356470	15307165	14779285	96.55	359065	2.35	58946	0.39	109869	0.72
SRR7356471	14753959	14183453	96.13	391801	2.66	53998	0.37	124707	0.85
SRR7356472	29166996	27354374	93.79	1286830	4.41	264974	0.91	260818	0.89
SRR7356473	17569434	16322630	92.9	908203	5.17	142626	0.81	195975	1.12
