Number_Input_reads	Number_Uniquely_Mapped	Percent_Uniquely_Mapped	Number_Mapped_multiLoci	Percent_Mapped_multiLoci	Number_Mapped_manyLoci	Percent_Mapped_manyLoci	Number_Reads_unmapped.short	Percent_reads_unmapped.short	Number_reads_unmapped.other	Percent_reads_unmapped.other
SRR9089683	10074941	9289372	92.20%	207294	2.06%	24029	0.24%	544451	5.40%	9795	0.10%
SRR9089684	10120847	9193203	90.83%	189830	1.88%	151081	1.49%	547036	5.41%	39697	0.39%
SRR9089685	7828360	7157496	91.43%	130540	1.67%	58313	0.74%	466056	5.95%	15955	0.20%
SRR9089686	1729781	1586000	91.69%	31877	1.84%	6142	0.36%	103920	6.01%	1842	0.11%
SRR9089687	7378567	6772603	91.79%	145330	1.97%	21143	0.29%	433155	5.87%	6336	0.09%
SRR9089688	9539885	8726106	91.47%	199499	2.09%	29159	0.31%	576175	6.04%	8946	0.09%
SRR9089689	10089879	9206250	91.24%	211271	2.09%	34187	0.34%	626506	6.21%	11665	0.12%
SRR9089690	541873	494899	91.33%	11404	2.10%	1851	0.34%	33218	6.13%	501	0.09%
SRR9089691	7308041	6709561	91.81%	148909	2.04%	16250	0.22%	427005	5.84%	6316	0.09%
SRR9089692	9149298	8396679	91.77%	181662	1.99%	20977	0.23%	541863	5.92%	8117	0.09%
SRR9089693	9497733	8665908	91.24%	205515	2.16%	38316	0.40%	576537	6.07%	11457	0.12%
SRR9089694	7976234	7299132	91.51%	175557	2.20%	23193	0.29%	471151	5.91%	7201	0.09%
