Number_Input_reads	Number_Uniquely_Mapped	Percent_Uniquely_Mapped	Number_Mapped_multiLoci	Percent_Mapped_multiLoci	Number_Mapped_manyLoci	Percent_Mapped_manyLoci	Number_Reads_unmapped.short	Percent_reads_unmapped.short	Number_reads_unmapped.other	Percent_reads_unmapped.other
SRR10919114	5452175	4518325	82.87%	74235	1.36%	496714	9.11%	360056	6.60%	2845	0.05%
SRR10919115	6057528	4924931	81.30%	68838	1.14%	609821	10.07%	451348	7.45%	2590	0.04%
SRR10919116	3344571	2686154	80.31%	24241	0.72%	431755	12.91%	200697	6.00%	1724	0.05%
SRR10919117	2247402	1870037	83.21%	29703	1.32%	195079	8.68%	151279	6.73%	1304	0.06%
SRR10919118	10611565	9049943	85.28%	144679	1.36%	788654	7.43%	623954	5.88%	4335	0.04%
SRR10919119	8458348	6974969	82.46%	128055	1.51%	895633	10.59%	454489	5.37%	5202	0.06%
SRR10919120	6439629	5379941	83.54%	103371	1.61%	524714	8.15%	426855	6.63%	4748	0.07%
SRR10919121	5978463	4751100	79.47%	88660	1.48%	755066	12.63%	379729	6.35%	3908	0.07%
SRR10919122	5702548	4288528	75.20%	59651	1.05%	947632	16.62%	402754	7.06%	3983	0.07%
SRR10919123	6808989	5913341	86.85%	88199	1.30%	394704	5.80%	409742	6.02%	3003	0.04%
SRR10919124	5549479	4950999	89.22%	59673	1.08%	188911	3.40%	348093	6.27%	1803	0.03%
SRR10919125	4826841	3899366	80.79%	55067	1.14%	599730	12.42%	269904	5.59%	2774	0.06%
SRR10919126	6345828	5415179	85.33%	92603	1.46%	507696	8.00%	327941	5.17%	2409	0.04%
SRR10919127	4849219	4181030	86.22%	40350	0.83%	422722	8.72%	201958	4.16%	3159	0.07%
SRR10919128	8670427	7358155	84.86%	100905	1.16%	701722	8.09%	504291	5.82%	5354	0.06%
SRR10919129	11214010	9509167	84.80%	151862	1.35%	957518	8.54%	590308	5.26%	5155	0.05%
SRR10919130	6029847	5000201	82.92%	70577	1.17%	676128	11.21%	275969	4.58%	6972	0.12%
SRR10919131	5948726	4997385	84.01%	78070	1.31%	448404	7.54%	422564	7.10%	2303	0.04%
SRR10919132	5010211	4071095	81.26%	43398	0.87%	623374	12.44%	269191	5.37%	3153	0.06%
SRR10919133	6845699	5488446	80.17%	69055	1.01%	917331	13.40%	362167	5.29%	8700	0.13%
